species	NCBI.txid	No_AAS_total	No_CDS_total	No_AAS_Busco	No_CDS_Busco	No_AAS_CDS_corresponding
Anoplophora_glabripennis	217634	20632	20632	946	946	936
Anoplopoma_fimbria	229290	31719	31819	920	920	887
Anser_cygnoides	8845	31811	31821	857	857	803
Anseranas_semipalmata	8851	14223	15749	838	838	836
Antechinus_flavipes	38775	40823	41031	913	913	897
Anthonomus_grandis	7044	23731	23731	947	947	944
Anthoscopus_minutus	156561	13582	15222	848	848	844
Antrostomus_carolinensis	279965	16876	16887	844	844	758
Aotus_nancymaae	37293	47568	47641	923	923	887
Apaloderma_vittatum	57397	15288	15303	822	822	716
Aphelenchoides_besseyi	269767	11794	12576	737	737	734
Aphelenchoides_bicaudatus	293665	10675	11699	775	775	775
Aphelenchoides_fujianensis	1052528	17477	20050	532	532	529
Aphelenchus_avenae	70226	43185	43185	737	737	728
Aphelocoma_coerulescens	39617	14584	16167	868	868	868
Aphidius_gifuensis	684658	20617	20617	900	900	897
Aphis_craccivora	307492	32062	32062	903	903	903
Aphis_glycines	307491	18358	18358	755	755	753
Aphis_gossypii	80765	26009	26009	906	906	899
Apis_cerana	7461	19255	19255	955	955	914
Apis_dorsata	7462	20012	20012	976	976	959
Apis_florea	7463	17663	17663	973	973	806
Apis_laboriosa	183418	20470	20470	971	971	967
Apis_mellifera	7460	23471	23471	970	970	964
Aplysia_californica	6500	26656	26656	949	949	795
Apodemus_sylvaticus	10129	46365	46632	918	918	915
Apolygus_lucorum	248454	20111	20353	878	878	874
Apostichopus_japonicus	307972	30221	30221	786	786	770
Aptenodytes_forsteri	9233	19104	19116	875	875	859
Aptenodytes_patagonicus	9234	13942	14992	794	794	794
Apteryx_mantelli	2696672	22793	22817	884	884	854
Apteryx_rowi	308060	37618	37643	932	932	753
Apus_apus	8895	36344	36363	890	890	886
Aquila_chrysaetos	8962	52413	52443	932	932	926
Aramus_guarauna	54356	14295	15841	849	849	845
Araneus_ventricosus	182803	279517	279517	829	829	816
Archocentrus_centrarchus	63155	41106	41345	915	915	890
Arctia_plantaginis	874455	18801	18894	939	939	939
Ardeotis_kori	89386	13698	15169	826	826	826
Arenaria_interpres	54971	13872	15264	821	821	818
Argiope_bruennichi	94029	30141	30141	932	932	932
Aricia_agestis	91739	21296	21296	969	969	968
Armadillidium_nasatum	96803	14636	14636	792	792	792
Armadillidium_vulgare	13347	19051	19051	749	749	749
Artibeus_jamaicensis	9417	42600	42787	924	924	912
Arvicanthis_niloticus	61156	41473	41699	893	893	892
Arvicola_amphibius	1047088	40754	40990	863	863	838
Asarcornis_scutulata	75869	14721	16361	859	859	859
Asbolus_verrucosus	1661398	15272	15272	925	925	925
Astatotilapia_calliptera	8154	52718	52859	912	912	909
Asterias_rubens	7604	24049	24049	956	956	947
Astyanax_mexicanus	7994	52494	52668	910	910	910
Athalia_rosae	37344	22113	22113	971	971	971
Athene_cunicularia	194338	27746	27752	852	852	847
Atlantisia_rogersi	2478892	13725	14985	768	768	768
Atractosteus_spatula	7917	15524	18711	880	880	867
Atrichornis_clamosus	449594	14599	16080	870	870	870
Atta_cephalotes	12957	10657	10657	956	956	922
Atta_colombica	520822	16933	16933	958	958	941
Austrofundulus_limnaeus	52670	35329	35368	922	922	427
Aythya_fuligula	219594	27761	27809	917	917	903
Bactrocera_dorsalis	27457	30102	30102	968	968	963
Bactrocera_latifrons	174628	22638	22638	959	959	798
Bactrocera_neohumeralis	98809	25557	25557	959	959	951
Bactrocera_oleae	104688	18715	18715	956	956	927
Bactrocera_tryoni	59916	23950	23950	958	958	958
Bagarius_yarrelli	175774	17182	17182	755	755	755
Balaeniceps_rex	33584	12229	13703	742	742	740
Balaenoptera_acutorostrata	9767	37625	37684	927	927	882
Balaenoptera_musculus	9771	52259	52306	853	853	837
Balearica_regulorum	925459	16163	16179	848	848	756
Bambusicola_thoracicus	9083	17763	17763	791	791	780
Baryphthengus_martii	176943	13396	15154	825	825	824
Batillaria_attramentaria	370345	29795	29795	658	658	592
Belonocnema_kinseyi	2817044	25246	25246	955	955	953
Belonocnema_treatae	1159321	25246	25246	955	955	953
Bemisia_tabaci	7038	22737	22737	935	935	913
Betta_splendens	158456	49263	49476	919	919	917
Bicyclus_anynana	110368	21766	21766	965	965	960
Biomphalaria_glabrata	6526	53149	53149	955	955	953
Bison_bison	9901	35554	35692	937	937	902
Blattella_germanica	6973	29581	29581	912	912	911
Blomia_tropicalis	40697	10651	10651	866	866	865
Boleophthalmus_pectinirostris	150288	33893	34005	929	929	898
Bombina_bombina	8345	33491	33589	908	908	855
Bombus_affinis	309941	28024	28024	967	967	967
Bombus_bifarius	103933	23896	23896	959	959	954
Bombus_huntii	85661	27776	27776	966	966	965
Bombus_impatiens	132113	24471	24471	966	966	959
Bombus_pyrosoma	396416	28292	28292	967	967	966
Bombus_terrestris	30195	22091	22091	966	966	881
Bombus_vancouverensis	2705177	24285	24285	965	965	961
Bombus_vosnesenskii	207650	24067	24067	966	966	959
Bombycilla_garrulus	125297	13804	15599	821	821	817
Bombyx_mandarina	7092	19224	19224	918	918	913
Bombyx_mori	7091	22510	22510	957	957	792
Bos_indicus	9915	35992	36119	915	915	452
Bos_mutus	72004	28881	28990	934	934	897
Bos_taurus	9913	63687	63863	942	942	800
Bothrops_jararaca	8724	86	86	2	2	2
Brachypodius_atriceps	182895	12867	14275	800	800	800
Brachypteracias_leptosomus	135165	13435	14926	840	840	840
Bradysia_coprophila	38358	28473	28473	936	936	936
Branchiostoma_belcheri	7741	34675	34675	959	959	928
Branchiostoma_floridae	7739	43041	43041	944	944	878
Branchiostoma_lanceolatum	7740	39310	39383	949	949	948
Brassicogethes_aeneus	1431903	16015	16015	914	914	913
Brenthis_ino	405034	19333	19333	962	962	962
Brienomyrus_brachyistius	42636	62316	62372	871	871	864
Brugia_malayi	6279	14388	14709	879	879	879
Brugia_timori	42155	15861	16203	796	796	671
Bubalus_bubalis	89462	64378	64670	900	900	895
Bucco_capensis	135168	14416	15880	884	884	884
Buceros_rhinoceros	175835	15510	15525	832	832	753
Budorcas_taxicolor	37181	28977	29116	876	876	873
Bufo_bufo	8384	38109	38156	942	942	924
Bufo_gargarizans	30331	38512	38582	886	886	881
Bugula_neritina	10212	25318	25318	765	765	765
Bulinus_truncatus	55810	26279	26279	783	783	777
Buphagus_erythrorhynchus	245048	11105	12579	746	746	743
Burhinus_bistriatus	240201	13982	15874	833	833	833
Bursaphelenchus_okinawaensis	465554	14544	14593	843	843	843
Bursaphelenchus_xylophilus	6326	15860	15884	843	843	843
Caenorhabditis_angaria	860376	19424	19429	849	849	829
Caenorhabditis_auriculariae	2777116	16279	16279	856	856	856
Caenorhabditis_bovis	2654633	15174	15307	831	831	831
Caenorhabditis_brenneri	135651	30670	30673	572	572	571
Caenorhabditis_briggsae	6238	21954	21954	846	846	845
Caenorhabditis_elegans	6239	28350	30301	866	866	866
Caenorhabditis_nigoni	1611254	44605	44605	838	838	838
Caenorhabditis_remanei	31234	26177	26296	834	834	834
Caerostris_darwini	1538125	56117	56117	868	868	867
Caerostris_extrusa	172846	82824	82824	895	895	884
Calcarius_ornatus	198940	13683	15518	819	819	819
Calidris_pugnax	198806	30889	30937	907	907	896
Caligus_rogercresseyi	217165	19128	19128	317	317	264
Callaeas_wilsoni	1347786	14567	16099	865	865	865
Callipepla_squamata	9009	17131	17131	859	859	852
Callithrix_jacchus	9483	85133	85291	869	869	862
Callorhinchus_milii	7868	28237	28450	931	931	662
Callorhinus_ursinus	34884	46164	46221	806	806	802
Callosobruchus_maculatus	64391	31345	31361	825	825	824
Caloenas_nicobarica	187106	14071	15520	843	843	843
Calonectris_borealis	1323832	14421	15799	859	859	859
Calypte_anna	9244	29214	29231	886	886	857
Calyptomena_viridis	135972	13242	14872	797	797	797
Camarhynchus_parvulus	87175	28897	28914	962	962	926
Camelus_bactrianus	9837	41434	41527	941	941	765
Camelus_dromedarius	9838	51736	51822	957	957	925
Camelus_ferus	419612	54519	54601	937	937	934
Camponotus_floridanus	104421	23971	23971	957	957	954
Campylorhamphus_procurvoides	190295	14098	15733	829	829	824
Candidula_unifasciata	100452	22464	22464	866	866	819
Canis_lupus	9612	62946	63166	931	931	924
Capitella_teleta	283909	31978	31978	915	915	915
Capra_hircus	9925	42653	42815	936	936	926
Caranx_melampygus	181461	30859	30859	834	834	815
Carassius_auratus	7957	96703	97252	271	271	268
Carassius_gibelio	101364	90465	90703	326	326	324
Carcharodon_carcharias	13397	44456	44525	936	936	932
Caretta_caretta	8467	54596	54723	953	953	936
Cariama_cristata	54380	16125	16140	863	863	783
Carlito_syrichta	1868482	33081	33260	915	915	896
Castor_canadensis	51338	37422	37636	935	935	803
Cataglyphis_hispanica	1086592	22395	22395	961	961	950
Cathartes_aura	43455	11361	11361	669	669	668
Catharus_fuscescens	159581	13926	15664	819	819	818
Catharus_ustulatus	91951	36071	36231	935	935	922
Cavia_porcellus	10141	37360	37654	950	950	914
Cebus_imitator	2715852	55885	56047	875	875	867
Centrocercus_urophasianus	9002	31539	31548	892	892	881
Centropus_bengalensis	1463675	13170	14518	813	813	813
Centropus_unirufus	1118519	14022	15345	839	839	839
Centruroides_sculpturatus	218467	35529	35529	903	903	883
Cephalopterus_ornatus	114276	13914	15494	829	829	829
Cephus_cinctus	211228	31876	31876	966	966	961
Cepphus_grylle	28697	14764	16242	872	872	872
Ceratina_calcarata	156304	23278	23278	934	934	925
Ceratitis_capitata	7213	22949	22949	970	970	967
Ceratosolen_solmsi	142686	12833	12833	952	952	928
Ceratotherium_simum	9807	33629	33782	959	959	949
Cercocebus_atys	9531	65920	66135	939	939	909
Cercopithifilaria_johnstoni	2874296	11551	11690	872	872	869
Cercotrichas_coryphoeus	614051	13559	15241	816	816	816
Certhia_brachydactyla	73330	13885	15671	838	838	833
Certhia_familiaris	73333	13157	14709	771	771	771
Cervus_canadensis	1574408	56132	56339	841	841	837
Cervus_elaphus	9860	19243	19243	828	828	828
Cervus_hanglu	2100816	19312	19312	846	846	845
Cettia_cetti	68486	14916	16477	879	879	879
Ceuthmochares_aereus	1961834	12210	13522	756	756	756
Ceutorhynchus_assimilis	467358	15470	15471	901	901	901
Ceyx_cyanopectus	390723	12043	13153	748	748	748
Chaenocephalus_aceratus	36190	39863	39863	857	857	833
Chaetops_frenatus	221966	13233	15034	795	795	794
Chaetorhynchus_papuensis	254446	14337	15932	844	844	844
Chaetura_pelagica	8897	15932	15944	877	877	817
Chanos_chanos	29144	29908	30105	894	894	891
Charadrius_vociferus	50402	16428	16448	881	881	829
Chauna_torquata	30388	13482	15083	815	815	812
Cheilinus_undulatus	241271	40002	40068	913	913	912
Chelmon_rostratus	109905	33912	34085	930	930	926
Chelonia_mydas	8469	71110	71295	958	958	953
Chelonoidis_abingdonii	106734	44358	44546	953	953	924
Chelonus_insularis	460826	19220	19220	957	957	953
Chelydra_serpentina	8475	21003	21013	918	918	902
Cherax_quadricarinatus	27406	31450	31450	899	899	776
Chilo_suppressalis	168631	12906	12906	904	904	904
Chiloscyllium_plagiosum	36176	47685	47886	931	931	926
Chiloscyllium_punctatum	137246	33501	33501	921	921	914
Chinchilla_lanigera	34839	45448	45609	949	949	841
Chionis_minor	227182	14305	15689	851	851	850
Chionoecetes_opilio	41210	22650	22650	781	781	781
Chironomus_riparius	315576	16522	16523	931	931	931
Chiroxiphia_lanceolata	296741	39412	39421	931	931	894
Chlamydotis_macqueenii	187382	15683	15694	835	835	742
Chloebia_gouldiae	44316	18989	18989	837	837	836
Chlorocebus_sabaeus	60711	61846	62042	872	872	858
Chloroceryle_aenea	176938	12200	13866	764	764	761
Chloropsis_cyanopogon	1218682	12574	14216	764	764	762
Chloropsis_hardwickii	667144	13520	15362	803	803	803
Choloepus_didactylus	27675	54527	54704	796	796	781
Chordeiles_acutipennis	118183	14031	15496	835	835	834
Choristoneura_fumiferana	7141	22898	22898	826	826	826
Chroicocephalus_maculipennis	287016	13945	15490	823	823	823
Chrysemys_picta	8479	57048	57292	959	959	948
Chrysochloris_asiatica	185453	25227	25375	926	926	907
Chrysoperla_carnea	189513	17649	17649	949	949	949
Chunga_burmeisteri	1352770	14415	15895	854	854	854
Ciccaba_nigrolineata	1118524	13842	15524	818	818	815
Cimex_lectularius	79782	24194	24194	945	945	939
Cinara_cedri	506608	22234	22497	875	875	875
Cinclus_mexicanus	161649	13497	15131	823	823	818
Ciona_intestinalis	7719	21096	21096	922	922	891
Circaetus_pectoralis	321084	14150	15855	849	849	849
Cisticola_juncidis	52622	13396	15071	811	811	808
Clarias_gariepinus	13013	40777	41027	927	927	924
Clarias_magur	1594786	23712	23712	788	788	470
Climacteris_rufus	47695	14096	15620	839	839	838
Cloeon_dipterum	197152	30082	30161	926	926	926
Clonorchis_sinensis	79923	14408	14408	817	817	814
Clunio_marinus	568069	22620	22620	913	913	912
Clupea_harengus	7950	46831	47030	886	886	878
Cnemophilus_loriae	254448	14124	15866	837	837	830
Coccinella_septempunctata	41139	23111	23111	945	945	943
Cochlearius_cochlearius	110676	14064	15455	838	838	838
Colias_croceus	72248	20988	20988	966	966	965
Colius_striatus	57412	15797	15809	849	849	742
Colletes_gigas	935657	18601	18601	955	955	952
Collichthys_lucidus	240159	28508	28508	689	689	689
Colobus_angolensis	54131	38656	38775	914	914	883
Colossoma_macropomum	42526	43618	43938	910	910	899
Columba_livia	8932	32506	32532	899	899	824
Columbina_picui	115618	12298	14192	757	757	757
Condylura_cristata	143302	29166	29250	929	929	916
Contarinia_nasturtii	265458	24963	24963	939	939	937
Copidosoma_floridanum	29053	17308	17308	921	921	911
Copsychus_sechellarum	797021	14408	16238	877	877	877
Coptotermes_formosanus	36987	12984	12984	913	913	884
Corapipo_altera	415028	39226	39239	913	913	900
Coregonus_clupeaformis	59861	76885	77069	401	401	384
Corvus_brachyrhynchos	85066	29421	29441	885	885	857
Corvus_cornix	181096	36899	36913	867	867	818
Corvus_hawaiiensis	134902	43147	43185	933	933	921
Corvus_kubaryi	68294	41335	41343	861	861	858
Corvus_moneduloides	1196302	43047	43081	929	929	918
Coryphaenoides_rupestris	163118	38853	38853	888	888	886
Corythaeola_cristata	103954	11515	13452	698	698	698
Corythaixoides_concolor	103956	14239	15729	839	839	839
Cotesia_congregata	51543	13989	14126	897	897	897
Cotesia_glomerata	32391	25331	25331	947	947	940
Cotesia_typhae	2053667	8423	8597	738	738	737
Cottoperca_gobio	56716	37849	37909	867	867	850
Coturnix_japonica	93934	40894	40934	941	941	921
Crassostrea_angulata	558553	49950	49950	949	949	947
Crassostrea_gigas	29159	63341	63341	907	907	898
Crassostrea_virginica	6565	60213	60213	683	683	596
Cricetulus_griseus	10029	37524	37784	894	894	665
Crocodylus_porosus	8502	28676	28686	875	875	863
Crocuta_crocuta	9678	17057	19698	831	831	828
Crotalus_adamanteus	8729	796	796	0	0	NA
Crotalus_tigris	88082	51661	51843	954	954	951
Crotophaga_sulcirostris	33598	13871	15262	841	841	841
Cryptotermes_secundus	105785	26728	26728	947	947	940
Crypturellus_soui	458187	14176	15595	825	825	825
Crypturellus_undulatus	48396	14065	15484	831	831	831
Ctenocephalides_felis	7515	21954	21954	576	576	538
Ctenopharyngodon_idella	7959	59198	59323	905	905	897
Cuculus_canorus	55661	16796	16805	901	901	845
Culex_pipiens	7175	25920	25920	904	904	901
Culex_quinquefasciatus	7176	18883	18883	882	882	881
Cyanistes_caeruleus	156563	31326	31355	900	900	882
Cyclopterus_lumpus	8103	38625	38667	928	928	909
Cygnus_atratus	8868	36827	36879	921	921	913
Cygnus_olor	8869	47794	47851	921	921	889
Cylicostephanus_goldi	71465	13791	13906	468	468	429
Cynoglossus_semilaevis	244447	39239	39251	932	932	891
Cyphomyrmex_costatus	456900	15690	15690	959	959	950
Cyprinodon_tularosa	77115	42363	42560	937	937	934
Cyprinodon_variegatus	28743	36524	36633	928	928	913
Cyprinus_carpio	7962	80686	80987	282	282	259
Daktulosphaira_vitifoliae	58002	29510	29510	915	915	914
Dallia_pectoralis	75939	34041	34046	873	873	873
Danaus_chrysippus	151541	19635	19635	953	953	929
Danaus_plexippus	13037	15232	15232	934	934	928
Danio_aesculapii	1142201	36526	36666	906	906	881
Danio_rerio	7955	52829	52917	914	914	632
Danionella_translucida	623744	35381	35770	898	898	879
Daphnia_galeata	27404	15649	15845	894	894	890
Daphnia_magna	35525	28221	28221	880	880	858
Daphnia_pulex	6669	27985	27985	929	929	925
Daphnia_pulicaria	35523	27597	27597	917	917	910
Daphnia_sinensis	1820382	16955	16955	920	920	920
Daphoenositta_chrysoptera	254528	13879	15545	832	832	828
Darwinula_stevensoni	69355	15624	15746	854	854	848
Dasyornis_broadbenti	243059	14397	16095	861	861	859
Dasypus_novemcinctus	9361	38156	38498	927	927	879
Delphinapterus_leucas	9749	50490	50540	938	938	934
Dendroctonus_ponderosae	77166	20551	20551	910	910	835
Dendrolimus_kikuchii	765133	15321	15321	925	925	925
Dendronephthya_gigantea	151771	28741	28741	844	844	833
Denticeps_clupeoides	299321	50058	50150	839	839	831
Dermacentor_andersoni	34620	36216	36216	932	932	931
Dermacentor_silvarum	543639	36397	36397	905	905	893
Dermatophagoides_farinae	6954	12615	12615	898	898	857
Dermatophagoides_pteronyssinus	6956	12837	12837	892	892	879
Dermochelys_coriacea	27794	55150	55241	947	947	912
Desmodus_rotundus	9430	44446	44497	914	914	838
Desmophyllum_pertusum	174260	37484	37484	875	875	873
Diabrotica_balteata	107213	15923	15923	904	904	903
Diabrotica_virgifera	50389	28061	28061	936	936	818
Diachasma_alloeum	454923	19064	19064	962	962	953
Diaphorina_citri	121845	24727	24727	837	837	781
Diatraea_saccharalis	40085	16172	16172	951	951	951
Dibothriocephalus_latus	60516	19930	19966	652	652	533
Dicaeum_eximium	667154	13650	15738	827	827	825
Dicentrarchus_labrax	13489	54417	54655	926	926	919
Dicrocoelium_dendriticum	57078	16905	16907	676	676	671
Dicrurus_megarhynchus	450177	14257	15991	843	843	841
Dictyocaulus_viviparus	29172	14171	14171	808	808	799
Didymodactylos_carnosus	1234261	46863	46863	677	677	655
Dimorphilus_gyrociliatus	2664684	16175	16378	888	888	888
Dinoponera_quadriceps	609295	22408	22408	955	955	949
Dinothrombium_tinctorium	1965070	19024	19024	516	516	515
Diploscapter_pachys	2018661	38423	38423	383	383	383
Dipodomys_ordii	10020	29351	29552	942	942	926
Dipodomys_spectabilis	105255	37300	37670	909	909	905
Diprion_similis	362088	20442	20442	941	941	940
Dirofilaria_immitis	6287	9741	9741	815	815	815
Dissostichus_eleginoides	100907	35554	35554	863	863	855
Dissostichus_mawsoni	36200	29240	29240	842	842	652
Ditylenchus_destructor	166010	21283	21283	774	774	774
Diuraphis_noxia	143948	17476	17476	894	894	526
Donacobius_atricapilla	237420	13746	15376	814	814	814
Dracunculus_medinensis	318479	10879	10969	858	858	761
Dreissena_polymorpha	45954	75288	75288	780	780	772
Dromaius_novaehollandiae	8790	31311	31330	920	920	573
Dromas_ardeola	458190	13904	15330	825	825	824
Dromiciops_gliroides	33562	43302	43431	854	854	801
Drosophila_albomicans	7291	24248	24248	954	954	937
Drosophila_ananassae	7217	25915	25915	958	958	955
Drosophila_arizonae	7263	19500	19500	922	922	856
Drosophila_biarmipes	125945	26154	26154	955	955	954
Drosophila_bipectinata	42026	21079	21079	948	948	943
Drosophila_bunnanda	244254	12184	12184	867	867	861
Drosophila_busckii	30019	19109	19109	939	939	934
Drosophila_elegans	30023	23444	23444	959	959	955
Drosophila_erecta	7220	23135	23135	954	954	952
Drosophila_eugracilis	29029	22460	22460	954	954	942
Drosophila_ficusphila	30025	22110	22110	957	957	930
Drosophila_grimshawi	7222	14986	14986	925	925	925
Drosophila_guanche	7266	22824	22824	952	952	948
Drosophila_gunungcola	103775	24987	24987	952	952	918
Drosophila_hydei	7224	21429	21429	934	934	933
Drosophila_innubila	198719	19534	19534	945	945	934
Drosophila_ironensis	2848634	12677	12677	878	878	867
Drosophila_kikkawai	30033	22799	22799	952	952	948
Drosophila_mauritiana	7226	23239	23239	954	954	953
Drosophila_melanogaster	7227	30493	30493	956	956	941
Drosophila_miranda	7229	32149	32149	820	820	818
Drosophila_mojavensis	7230	23305	23305	952	952	952
Drosophila_navojoa	7232	20344	20344	949	949	944
Drosophila_novamexicana	47314	20149	20149	934	934	933
Drosophila_obscura	7282	23284	23284	946	946	935
Drosophila_pandora	1867034	13780	13780	862	862	856
Drosophila_persimilis	7234	20342	20342	941	941	938
Drosophila_pseudoobscura	7237	23456	23456	931	931	918
Drosophila_pseudotakahashii	193234	13080	13080	882	882	872
Drosophila_rhopaloa	1041015	23428	23428	953	953	948
Drosophila_rubida	30044	11848	11848	890	890	880
Drosophila_santomea	129105	24461	24461	952	952	950
Drosophila_sechellia	7238	23935	23935	952	952	950
Drosophila_serrata	7274	20941	20941	932	932	849
Drosophila_setifemur	2848635	12430	12430	907	907	901
Drosophila_simulans	7240	26225	26225	955	955	953
Drosophila_subobscura	7241	22475	22475	952	952	939
Drosophila_subpulchrella	1486046	25688	25688	942	942	941
Drosophila_suzukii	28584	23160	23160	881	881	864
Drosophila_takahashii	29030	20007	20007	944	944	938
Drosophila_teissieri	7243	22853	22853	943	943	939
Drosophila_virilis	7244	23429	23429	936	936	932
Drosophila_willistoni	7260	21170	21170	938	938	936
Drosophila_yakuba	7245	25398	25398	953	953	952
Drymodes_brunneopygia	626378	13565	15254	812	812	809
Dryobates_pubescens	118200	15826	15830	876	876	835
Dryococelus_australis	614101	33111	33111	536	536	516
Dryoscopus_gambensis	85069	12314	14072	752	752	749
Dufourea_novaeangliae	178035	12157	12157	971	971	942
Dunckerocampus_dactyliophorus	161453	48560	48579	930	930	927
Echeneis_naucrates	173247	38188	38340	921	921	916
Echinococcus_granulosus	6210	11319	11319	801	801	801
Echinococcus_multilocularis	6211	10656	10657	747	747	747
Echinops_telfairi	9371	32083	32137	894	894	864
Echinostoma_caproni	27848	18599	18607	753	753	596
Eciton_burchellii	213866	12562	12562	951	951	941
Edolisoma_coerulescens	2585810	13682	15773	819	819	816
Egretta_garzetta	188379	23679	23693	867	867	817
Elachura_formosa	1463973	14015	15613	820	820	820
Electrophorus_electricus	8005	45294	45431	918	918	908
Elephantulus_edwardii	28737	25209	25317	861	861	836
Elephas_maximus	9783	53692	53885	941	941	940
Eleutherodactylus_coqui	57060	34542	34542	950	950	945
Elysia_chlorotica	188477	23871	23871	936	936	933
Elysia_marginata	1093978	70752	70752	942	942	932
Emberiza_fucata	337179	13208	15183	789	789	789
Empidonax_traillii	164674	33999	34029	908	908	897
Engystomops_pustulosus	76066	64871	64871	895	895	893
Enhydra_lutris	34882	36603	36734	944	944	937
Enterobius_vermicularis	51028	12844	12895	862	862	834
Enteromyxum_leei	188704	13	13	0	0	NA
Eolophus_roseicapilla	176039	13336	15243	795	795	795
Ephemera_danica	1049336	18562	18562	891	891	721
Epinephelus_fuscoguttatus	293821	45198	45301	932	932	926
Epinephelus_lanceolatus	310571	42970	43029	925	925	906
Epinephelus_moara	300413	42851	42926	929	929	924
Episyrphus_balteatus	286459	23026	23026	954	954	954
Eptesicus_fuscus	29078	38834	39013	904	904	904
Equus_asinus	9793	42247	42462	950	950	947
Equus_caballus	9796	60900	61177	941	941	929
Equus_przewalskii	9798	38416	38627	941	941	918
Equus_quagga	89248	48865	49056	914	914	913
Erinaceus_europaeus	9365	29382	29483	936	936	924
